task,method,policy_id,check,passed,confirmed_optimizer_updates,optimizer_update_upper_bound,uncertainty_upper_bound
buffer_swap,APPL_5_5_high,red_to_buffer_handoff__h01,runs/exp2/M1_scaleup/buffer_swap/policies/red_to_buffer_handoff/heuristic_01/checks/00,True,2,2,0
buffer_swap,APPL_5_5_high,red_to_buffer_handoff__h02,runs/exp2/M1_scaleup/buffer_swap/policies/red_to_buffer_handoff/heuristic_02/checks/00,True,2,2,0
buffer_swap,APPL_5_5_high,red_to_buffer_handoff__h03,runs/exp2/M1_scaleup/buffer_swap/policies/red_to_buffer_handoff/heuristic_03/checks/00,True,2,2,0
buffer_swap,APPL_5_5_high,blue_to_goal_handoff__h01,runs/exp2/M1_scaleup/buffer_swap/policies/blue_to_goal_handoff/heuristic_01/checks/00,True,2,2,0
buffer_swap,APPL_5_5_high,blue_to_goal_handoff__h02,runs/exp2/M1_scaleup/buffer_swap/policies/blue_to_goal_handoff/heuristic_02/checks/00,False,0,2,2
buffer_swap,APPL_5_5_high,blue_to_goal_handoff__h02,runs/exp2/M1_scaleup/buffer_swap/policies/blue_to_goal_handoff/heuristic_02/checks/01,True,2,2,0
buffer_swap,APPL_5_5_high,blue_to_goal_handoff__h03,runs/exp2/M1_scaleup/buffer_swap/policies/blue_to_goal_handoff/heuristic_03/checks/00,True,2,2,0
buffer_swap,APPL_5_5_high,red_buffer_to_goal_finish__h01,runs/exp2/M1_scaleup/buffer_swap/policies/red_buffer_to_goal_finish/heuristic_01/checks/00,True,2,2,0
buffer_swap,APPL_5_5_high,red_buffer_to_goal_finish__h02,runs/exp2/M1_scaleup/buffer_swap/policies/red_buffer_to_goal_finish/heuristic_02/checks/00,True,2,2,0
buffer_swap,APPL_5_5_high,red_buffer_to_goal_finish__h03,runs/exp2/M1_scaleup/buffer_swap/policies/red_buffer_to_goal_finish/heuristic_03/checks/00,True,2,2,0
buffer_swap,APPL_6_xhigh,buffer_red__h01,runs/exp2/M1_astra_xhigh/buffer_swap/policies/buffer_red/heuristic_01/checks/00,True,2,2,0
buffer_swap,APPL_6_xhigh,buffer_red__h02,runs/exp2/M1_astra_xhigh/buffer_swap/policies/buffer_red/heuristic_02/checks/00,False,0,2,2
buffer_swap,APPL_6_xhigh,buffer_red__h02,runs/exp2/M1_astra_xhigh/buffer_swap/policies/buffer_red/heuristic_02/checks/01,False,2,2,0
buffer_swap,APPL_6_xhigh,buffer_red__h02,runs/exp2/M1_astra_xhigh/buffer_swap/policies/buffer_red/heuristic_02/checks/02,False,2,2,0
buffer_swap,APPL_6_xhigh,buffer_red__h02,runs/exp2/M1_astra_xhigh/buffer_swap/policies/buffer_red/heuristic_02/checks/03,False,2,2,0
buffer_swap,APPL_6_xhigh,buffer_red__h02,runs/exp2/M1_astra_xhigh/buffer_swap/policies/buffer_red/heuristic_02/checks/04,False,2,2,0
buffer_swap,APPL_6_xhigh,buffer_red__h02,runs/exp2/M1_astra_xhigh/buffer_swap/policies/buffer_red/heuristic_02/checks/05,True,2,2,0
buffer_swap,APPL_6_xhigh,buffer_red__h03,runs/exp2/M1_astra_xhigh/buffer_swap/policies/buffer_red/heuristic_03/checks/00,True,2,2,0
buffer_swap,APPL_6_xhigh,transfer_blue__h01,runs/exp2/M1_astra_xhigh/buffer_swap/policies/transfer_blue/heuristic_01/checks/00,True,2,2,0
buffer_swap,APPL_6_xhigh,transfer_blue__h02,runs/exp2/M1_astra_xhigh/buffer_swap/policies/transfer_blue/heuristic_02/checks/00,True,2,2,0
buffer_swap,APPL_6_xhigh,transfer_blue__h03,runs/exp2/M1_astra_xhigh/buffer_swap/policies/transfer_blue/heuristic_03/checks/00,True,2,2,0
buffer_swap,APPL_6_xhigh,finish_red__h01,runs/exp2/M1_astra_xhigh/buffer_swap/policies/finish_red/heuristic_01/checks/00,True,2,2,0
buffer_swap,APPL_6_xhigh,finish_red__h02,runs/exp2/M1_astra_xhigh/buffer_swap/policies/finish_red/heuristic_02/checks/00,True,2,2,0
buffer_swap,APPL_6_xhigh,finish_red__h03,runs/exp2/M1_astra_xhigh/buffer_swap/policies/finish_red/heuristic_03/checks/00,True,2,2,0
unstack_sort,SinglePrior_6_xhigh,SinglePrior_6_xhigh,runs/exp2/single_policy_astra_xhigh/unstack_sort/policy/checks/00,True,2,2,0
unstack_sort,APPL_5_5_high,red_unstack_lift__h01,runs/exp2/M1_scaleup/unstack_sort/policies/red_unstack_lift/heuristic_01/checks/00,True,2,2,0
unstack_sort,APPL_5_5_high,red_unstack_lift__h02,runs/exp2/M1_scaleup/unstack_sort/policies/red_unstack_lift/heuristic_02/checks/00,True,2,2,0
unstack_sort,APPL_5_5_high,red_unstack_lift__h03,runs/exp2/M1_scaleup/unstack_sort/policies/red_unstack_lift/heuristic_03/checks/00,True,2,2,0
unstack_sort,APPL_5_5_high,red_place_to_blue_entry__h01,runs/exp2/M1_scaleup/unstack_sort/policies/red_place_to_blue_entry/heuristic_01/checks/00,True,2,2,0
