task,condition,method,seed,success,physical_steps,elapsed_seconds,inference_chunks,inference_seconds,policy_invocations,source
drawer_exchange,OOD,naive_DP,6410,False,5000,495.2481416669907,625,471.70348249934614,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6410/result.json
drawer_exchange,OOD,naive_DP,6411,False,5000,698.0585091529647,625,667.0752947400906,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6411/result.json
drawer_exchange,OOD,naive_DP,6412,False,5000,728.933319910022,625,698.2123976376606,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6412/result.json
drawer_exchange,OOD,naive_DP,6413,False,5000,745.0344362600008,625,713.6959801703342,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6413/result.json
drawer_exchange,OOD,naive_DP,6414,False,5000,708.7171994399978,625,677.2937397748465,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6414/result.json
drawer_exchange,OOD,naive_DP,6415,False,5000,815.0821896349662,625,774.7529824320809,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6415/result.json
drawer_exchange,OOD,naive_DP,6416,False,5000,848.1197835879866,625,804.6630823755986,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6416/result.json
drawer_exchange,OOD,naive_DP,6417,False,5000,829.3552464860259,625,788.931404505216,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6417/result.json
drawer_exchange,OOD,naive_DP,6418,False,5000,816.5140068229521,625,774.465445647249,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6418/result.json
drawer_exchange,OOD,naive_DP,6419,False,5000,803.7656125749927,625,763.7224543779739,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6419/result.json
drawer_exchange,OOD,naive_DP,6420,False,5000,814.5662207730347,625,772.3852358073927,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6420/result.json
drawer_exchange,OOD,naive_DP,6421,False,5000,784.3993347270298,625,744.4495071317069,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6421/result.json
drawer_exchange,OOD,naive_DP,6422,False,5000,797.3116954729776,625,758.2720084238681,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6422/result.json
drawer_exchange,OOD,naive_DP,6423,False,5000,804.5489809570136,625,764.2193424552679,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6423/result.json
