completed,condition,episode_root,first_goals,first_success,method,reused_original_result,seed,selected_attempt,status,steps,success,success_by_1500,success_by_3000,success_by_5000,task,original_episode_root
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/evaluation_followup_20260918/unstack_sort/evaluation/APPL/OOD/30222,{},,APPL_6_xhigh,False,30222,authorized_followup_20260918,agent_finished,511,False,False,False,False,unstack_sort,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30222
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/evaluation_followup_20260918/unstack_sort/evaluation/APPL/OOD/30223,{},,APPL_6_xhigh,False,30223,authorized_followup_20260918,agent_finished,600,False,False,False,False,unstack_sort,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30223
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/evaluation_followup_20260918/unstack_sort/evaluation/APPL/OOD/30224,{},,APPL_6_xhigh,False,30224,authorized_followup_20260918,agent_finished,960,False,False,False,False,unstack_sort,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30224
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/evaluation_followup_20260918/unstack_sort/evaluation/APPL/OOD/30225,"{""blue_at_goal"": 1903, ""red_at_goal"": 236, ""success"": 1903}",1903,APPL_6_xhigh,False,30225,authorized_followup_20260918,succeeded,1903,True,False,True,True,unstack_sort,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30225
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/evaluation_followup_20260918/unstack_sort/evaluation/APPL/OOD/30226,"{""blue_at_goal"": 1677, ""red_at_goal"": 244, ""success"": 1677}",1677,APPL_6_xhigh,False,30226,authorized_followup_20260918,succeeded,1677,True,False,True,True,unstack_sort,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30226
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/evaluation_followup_20260918/unstack_sort/evaluation/APPL/OOD/30227,"{""blue_at_goal"": 1472, ""red_at_goal"": 241, ""success"": 1472}",1472,APPL_6_xhigh,False,30227,authorized_followup_20260918,succeeded,1472,True,True,True,True,unstack_sort,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30227
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/evaluation_followup_20260918/unstack_sort/evaluation/APPL/OOD/30228,"{""blue_at_goal"": 944, ""red_at_goal"": 249, ""success"": 944}",944,APPL_6_xhigh,False,30228,authorized_followup_20260918,succeeded,944,True,True,True,True,unstack_sort,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30228
True,OOD,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/evaluation_followup_20260918/unstack_sort/evaluation/APPL/OOD/30229,"{""blue_at_goal"": 1512, ""red_at_goal"": 273, ""success"": 1512}",1512,APPL_6_xhigh,False,30229,authorized_followup_20260918,succeeded,1512,True,False,True,True,unstack_sort,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30229
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20300,{},,naive_DP,True,20300,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20301,{},,naive_DP,True,20301,original,physical_budget_exhausted,5000,False,False,False,False,tray_pack,
