stage,task,method,policy_id,model,effort,source_request,source_request_sha256,bundled_request_contract,selected_contract_sha256
policy_design,buffer_swap,APPL_5_5_high,red_to_buffer_handoff__h01,gpt-5.5,high,runs/exp2/M1_scaleup/buffer_swap/policies/red_to_buffer_handoff/heuristic_01/design/api/0001.request.json,ab1b9a71ff19219a99c9518b5f7a164dba59cfc4b979cda3aeca2abf61f6857b,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,buffer_swap,APPL_5_5_high,red_to_buffer_handoff__h02,gpt-5.5,high,runs/exp2/M1_scaleup/buffer_swap/policies/red_to_buffer_handoff/heuristic_02/design/api/0001.request.json,893e9b09bfc1174829aa557e1e4124f208f8def23b777e32f383f8f2f91484fb,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,buffer_swap,APPL_5_5_high,red_to_buffer_handoff__h03,gpt-5.5,high,runs/exp2/M1_scaleup/buffer_swap/policies/red_to_buffer_handoff/heuristic_03/design/api/0001.request.json,2ffdb697768f67ff03503cde370c02626f25d29d99c4c39aee7789e52e713ac2,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,buffer_swap,APPL_5_5_high,blue_to_goal_handoff__h01,gpt-5.5,high,runs/exp2/M1_scaleup/buffer_swap/policies/blue_to_goal_handoff/heuristic_01/design/api/0001.request.json,30027ed9e1f813bbdac86405816a5e2d655bee834313b41176f525c5373a6855,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,buffer_swap,APPL_5_5_high,blue_to_goal_handoff__h02,gpt-5.5,high,runs/exp2/M1_scaleup/buffer_swap/policies/blue_to_goal_handoff/heuristic_02/design/api/0001.request.json,041ba6e0efa95387687a0286c2ba3f44dbddc6fb7159fe84f0639b612cd5f5d5,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,buffer_swap,APPL_5_5_high,blue_to_goal_handoff__h03,gpt-5.5,high,runs/exp2/M1_scaleup/buffer_swap/policies/blue_to_goal_handoff/heuristic_03/design/api/0001.request.json,ee74a13d8520509f92fde2aadab842561a57ddefc39d448b4746204ce1b00d5f,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,buffer_swap,APPL_5_5_high,red_buffer_to_goal_finish__h01,gpt-5.5,high,runs/exp2/M1_scaleup/buffer_swap/policies/red_buffer_to_goal_finish/heuristic_01/design/api/0001.request.json,a4ac43596cdbcf9a46fbaed43b3be1224c806e42a04e9e68b5d77f2ba1aba15d,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,buffer_swap,APPL_5_5_high,red_buffer_to_goal_finish__h02,gpt-5.5,high,runs/exp2/M1_scaleup/buffer_swap/policies/red_buffer_to_goal_finish/heuristic_02/design/api/0001.request.json,4af3a769d932de58aefcba2dbf1a9e573adf49d1543a6675845df78c8ab025d7,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,buffer_swap,APPL_5_5_high,red_buffer_to_goal_finish__h03,gpt-5.5,high,runs/exp2/M1_scaleup/buffer_swap/policies/red_buffer_to_goal_finish/heuristic_03/design/api/0001.request.json,5c73ed450f08607d1147c4257e2322b33da839b0a1110395374ff4309a613479,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,buffer_swap,APPL_6_xhigh,buffer_red__h01,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/buffer_swap/policies/buffer_red/heuristic_01/design/api/0001.request.json,f2411b01008e4ce905d18b61a71d7a838a9bcafb414bc0672e9acf1aa91fc94b,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,buffer_swap,APPL_6_xhigh,buffer_red__h02,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/buffer_swap/policies/buffer_red/heuristic_02/design/api/0001.request.json,4b5aa1d4eb7a6a050d0a85c0ab240562c5122935319ae39e201ef95dd33d62fd,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
